Thumbnails	Name	Execution Cost	FS Invocations	FS Invocation Utilization	Average Pixel Overdraw	FS Invocations per Primitive	FS Helper Invocations	FS Helper Invocations Inefficiency	FS Tiles Processed	Samples Shaded Per Tile	Primitives Per Tile	Sampler Calls/FS Invocation	Fragment Generator Pixel Processing	FS Texture Cache Miss Rate	FS Occupancy	FS ALU Instructions	FS ALU Float Instructions	FS ALU Half Instructions	FS ALU Integer and Conditional Instructions	FS ALU Integer and Complex Instructions	FS Bytes Read From Device Memory	FS Bytes Written To Device Memory	FS Buffer Device Memory Bytes Read	FS Buffer Device Memory Bytes Written	FS Device Atomic Bytes Read	FS Device Atomic Bytes Written	FS Device Memory Bandwidth	FS Last Level Cache Bytes Written	FS Texture L1 Bytes Read	FS ALU Performance	
-	545 Compute Encoder 0 0xa43040fa0	6.858%	0 	0.00%	0.00 	0.00 	0.00 	0.00%	0 	0 	0 	0.00 	0.00%	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 	
-	1501 Compute Encoder 0 0xa43041540	9.253%	0 	0.00%	0.00 	0.00 	0.00 	0.00%	0 	0 	0 	0.00 	0.00%	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 	
-	2455 Compute Encoder 0 0xa43041680	7.572%	0 	0.00%	0.00 	0.00 	0.00 	0.00%	0 	0 	0 	0.00 	0.00%	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 	
-	3435 Compute Encoder 0 0xa43041720	10.206%	0 	0.00%	0.00 	0.00 	0.00 	0.00%	0 	0 	0 	0.00 	0.00%	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 	
-	4600 Compute Encoder 0 0xa430417c0	9.329%	0 	0.00%	0.00 	0.00 	0.00 	0.00%	0 	0 	0 	0.00 	0.00%	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 	
-	5833 Compute Encoder 0 0xa430419a0	8.536%	0 	0.00%	0.00 	0.00 	0.00 	0.00%	0 	0 	0 	0.00 	0.00%	0.00%	0.45%	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 	
-	7043 Compute Encoder 0 0xa43041d60	7.910%	0 	0.00%	0.00 	0.00 	0.00 	0.00%	0 	0 	0 	0.00 	0.00%	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 	
-	8276 Compute Encoder 0 0xa43042080	10.078%	0 	0.00%	0.00 	0.00 	0.00 	0.00%	0 	0 	0 	0.00 	0.00%	0.00%	0.03%	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 	
-	9516 Compute Encoder 0 0xa43042440	8.491%	0 	0.00%	0.00 	0.00 	0.00 	0.00%	0 	0 	0 	0.00 	0.00%	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 	
-	10478 Compute Encoder 0 0xa43042800	20.582%	0 	0.00%	0.00 	0.00 	0.00 	0.00%	0 	0 	0 	0.00 	0.00%	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 	
-	10837 Compute Encoder 0 0xa43042bc0	1.186%	0 	0.00%	0.00 	0.00 	0.00 	0.00%	0 	0 	0 	0.00 	0.00%	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 	
