Thumbnails	Name	Execution Cost	Occupancy Manager Target	Occupancy Manager Target	Occupancy Manager Target	Device Memory Bandwidth	GPU Read Bandwidth	GPU Write Bandwidth	Last Level Cache Bandwidth	Bytes Read From Device Memory	Bytes Written To Device Memory	Last Level Cache Bytes Read	Last Level Cache Bytes Written	Last Level Cache Miss Rate	Buffer L1 Miss Rate	Buffer Device Memory Bytes Read	Buffer Device Memory Bytes Written	Texture L1 Bytes Read	Texture Cache Miss Rate	Texture Device Memory Bytes Read	Texture Device Memory Bytes Written	Device Atomic Bytes Read	Device Atomic Bytes Written	Depth Texture Device Memory Bytes Written	Depth Texture Device Memory Bytes Read	Depth Test Utilization	Depth Load Utilization	MMU TLB Miss Rate	L1 Cache Limiter	L1 Cache Utilization	ThreadGroup L1 Read Accesses	Buffer L1 Read Accesses	ImageBlock L1 Read Accesses	Stack L1 Read Accesses	Register L1 Read Accesses	RT Scratch L1 Read Accesses	Other L1 Read Accesses	ThreadGroup L1 Write Accesses	ThreadGroup L1 Write Accesses	ThreadGroup L1 Write Accesses	ThreadGroup L1 Write Accesses	ImageBlock L1 Write Accesses	Stack L1 Write Accesses	RT Scratch L1 Write Accesses	Register L1 Write Accesses	ThreadGroup L1 Write Accesses	Buffer L1 Write Accesses	Other L1 Write Accesses	L1 Write Bandwidth	L1 Read Bandwidth	Threadgroup Memory L1 Read Bandwidth	Threadgroup Memory L1 Write Bandwidth	Threadgroup Memory L1 Write Bandwidth	Threadgroup Memory L1 Write Bandwidth	Threadgroup Memory L1 Write Bandwidth	Imageblock L1 Read Bandwidth	Imageblock L1 Write Bandwidth	Unclassified L1 Read Bandwidth	Unclassified L1 Write Bandwidth	Register L1 Read Bandwidth	Register L1 Write Bandwidth	Stack L1 Read Bandwidth	Stack L1 Write Bandwidth	Buffer L1 Read Bandwidth	Buffer L1 Write Bandwidth	RT Scratch L1 Read Bandwidth	RT Scratch L1 Write Bandwidth	Threadgroup Memory L1 Write Bandwidth	L1 Register Residency	L1 Buffer Residency	L1 Stack Residency	L1 Threadgroup Residency	L1 Imageblock Residency	L1 Total Residency	L1 RT Scratch Residency	L1 RT Scratch Residency	L1 RT Scratch Residency	L1 RT Scratch Residency	L1 Other Residency	Occupancy Manager Target	L1 Eviction Rate	L1 RT Scratch Residency	
-	545 Compute Encoder 0 0xa43040fa0	6.858%	94.73%	94.73%	94.73%	187.5831 GiB/s	187.1061 GiB/s	0.4770 GiB/s	222.2856 GiB/s	58.97 MiB	153.94 KiB	65.75 MiB	187.62 KiB	96.68%	80.10 	58.96 MiB	7.24 MiB	0 bytes	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	18.88%	0.93%	0.93%	0.56%	93.42%	0.00%	0.04%	2.31%	0.00%	0.15%	0.57%	0.57%	0.57%	0.57%	0.00%	0.04%	0.00%	2.61%	0.57%	0.12%	0.18%	6.4468 GiB/s	176.1971 GiB/s	1.0144 GiB/s	1.0462 GiB/s	1.0462 GiB/s	1.0462 GiB/s	1.0462 GiB/s	0 GiB/s	0 GiB/s	0.2748 GiB/s	0.3329 GiB/s	4.2212 GiB/s	4.7732 GiB/s	0.0669 GiB/s	0.0669 GiB/s	170.6198 GiB/s	0.2277 GiB/s	0 GiB/s	0 GiB/s	1.0462 GiB/s	0.37%	24.02%	0.00%	0.01%	0.00%	24.46%	0.00%	0.00%	0.00%	0.00%	0.07%	94.73%	0.00%	0.00%	
-	1501 Compute Encoder 0 0xa43041540	9.253%	98.12%	98.12%	98.12%	213.6845 GiB/s	213.2524 GiB/s	0.4321 GiB/s	226.6059 GiB/s	83.49 MiB	173.25 KiB	86.64 MiB	201.38 KiB	96.67%	80.15 	83.47 MiB	950.81 KiB	0 bytes	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	4.09%	0.98%	0.98%	0.59%	93.56%	0.00%	0.03%	2.26%	0.00%	0.13%	0.61%	0.61%	0.61%	0.61%	0.00%	0.03%	0.00%	2.52%	0.61%	0.12%	0.15%	6.6516 GiB/s	187.2431 GiB/s	1.1467 GiB/s	1.1826 GiB/s	1.1826 GiB/s	1.1826 GiB/s	1.1826 GiB/s	0 GiB/s	0 GiB/s	0.2541 GiB/s	0.2984 GiB/s	4.3756 GiB/s	4.8769 GiB/s	0.0581 GiB/s	0.0581 GiB/s	181.4085 GiB/s	0.2356 GiB/s	0 GiB/s	0 GiB/s	1.1826 GiB/s	0.39%	27.21%	0.00%	0.01%	0.00%	27.68%	0.00%	0.00%	0.00%	0.00%	0.08%	98.12%	0.00%	0.00%	
-	2455 Compute Encoder 0 0xa43041680	7.572%	89.34%	89.34%	89.34%	186.3512 GiB/s	186.0603 GiB/s	0.2909 GiB/s	193.8781 GiB/s	60.52 MiB	96.88 KiB	62.90 MiB	188.12 KiB	96.10%	79.77 	60.50 MiB	3.07 MiB	0 bytes	0.00%	0 bytes	0 bytes	2.00 KiB	2.00 KiB	0 bytes	0 bytes	0.00%	0.00%	7.70%	0.97%	0.97%	0.80%	93.19%	0.00%	0.04%	2.17%	0.00%	0.16%	0.83%	0.83%	0.83%	0.83%	0.00%	0.04%	0.00%	2.44%	0.83%	0.13%	0.19%	6.8883 GiB/s	182.6524 GiB/s	1.5218 GiB/s	1.5694 GiB/s	1.5694 GiB/s	1.5694 GiB/s	1.5694 GiB/s	0 GiB/s	0 GiB/s	0.3048 GiB/s	0.3671 GiB/s	4.1118 GiB/s	4.6338 GiB/s	0.0729 GiB/s	0.0729 GiB/s	176.6411 GiB/s	0.2452 GiB/s	0 GiB/s	0 GiB/s	1.5694 GiB/s	0.40%	26.61%	0.00%	0.01%	0.00%	27.10%	0.00%	0.00%	0.00%	0.00%	0.08%	89.34%	0.00%	0.00%	
-	3435 Compute Encoder 0 0xa43041720	10.206%	88.26%	88.26%	88.26%	224.2383 GiB/s	223.8614 GiB/s	0.3769 GiB/s	231.9697 GiB/s	83.92 MiB	144.69 KiB	86.78 MiB	196.12 KiB	96.62%	80.36 	83.90 MiB	2.18 MiB	0 bytes	0.00%	0 bytes	2.50 KiB	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	5.87%	0.98%	0.98%	0.39%	94.36%	0.00%	0.03%	2.05%	0.00%	0.13%	0.41%	0.41%	0.41%	0.41%	0.00%	0.03%	0.00%	2.33%	0.41%	0.12%	0.15%	5.9044 GiB/s	188.8506 GiB/s	0.7665 GiB/s	0.7905 GiB/s	0.7905 GiB/s	0.7905 GiB/s	0.7905 GiB/s	0.0009 GiB/s	0.0009 GiB/s	0.2565 GiB/s	0.3006 GiB/s	3.9974 GiB/s	4.5291 GiB/s	0.0591 GiB/s	0.0591 GiB/s	183.7701 GiB/s	0.2241 GiB/s	0 GiB/s	0 GiB/s	0.7905 GiB/s	0.30%	25.80%	0.00%	0.01%	0.00%	26.18%	0.00%	0.00%	0.00%	0.00%	0.07%	88.26%	0.00%	0.00%	
-	4600 Compute Encoder 0 0xa430417c0	9.329%	91.49%	91.49%	91.49%	210.8071 GiB/s	210.5289 GiB/s	0.2782 GiB/s	219.3683 GiB/s	83.93 MiB	113.56 KiB	86.86 MiB	199.19 KiB	96.53%	80.17 	87.30 MiB	80.50 KiB	0 bytes	0.00%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	2.80%	1.00%	1.00%	0.58%	93.42%	0.01%	0.03%	2.29%	0.00%	0.15%	0.60%	0.60%	0.60%	0.60%	0.01%	0.04%	0.00%	2.58%	0.60%	0.12%	0.17%	6.9339 GiB/s	190.0013 GiB/s	1.1463 GiB/s	1.1821 GiB/s	1.1821 GiB/s	1.1821 GiB/s	1.1821 GiB/s	0.0205 GiB/s	0.0213 GiB/s	0.2996 GiB/s	0.3410 GiB/s	4.5075 GiB/s	5.0817 GiB/s	0.0603 GiB/s	0.0701 GiB/s	183.9670 GiB/s	0.2377 GiB/s	0 GiB/s	0 GiB/s	1.1821 GiB/s	0.36%	24.53%	0.00%	0.01%	0.00%	24.97%	0.00%	0.00%	0.00%	0.00%	0.07%	91.49%	0.00%	0.00%	
-	5833 Compute Encoder 0 0xa430419a0	8.536%	100.00%	100.00%	100.00%	205.9115 GiB/s	205.6048 GiB/s	0.3067 GiB/s	229.0320 GiB/s	76.71 MiB	117.19 KiB	82.81 MiB	190.88 KiB	96.80%	79.29 	83.02 MiB	67.88 KiB	0 bytes	0.00%	18.25 KiB	2.62 KiB	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	7.11%	0.96%	0.96%	0.60%	87.20%	0.74%	1.03%	2.30%	0.00%	1.38%	0.62%	0.62%	0.62%	0.62%	1.00%	1.16%	0.00%	2.57%	0.62%	0.11%	1.29%	12.9883 GiB/s	179.4013 GiB/s	1.1490 GiB/s	1.1849 GiB/s	1.1849 GiB/s	1.1849 GiB/s	1.1849 GiB/s	1.4269 GiB/s	1.9245 GiB/s	2.6578 GiB/s	2.4739 GiB/s	4.4191 GiB/s	4.9507 GiB/s	1.9828 GiB/s	2.2391 GiB/s	167.7658 GiB/s	0.2151 GiB/s	0 GiB/s	0 GiB/s	1.1849 GiB/s	0.39%	21.76%	0.00%	0.01%	0.03%	22.26%	0.00%	0.00%	0.00%	0.00%	0.07%	100.00%	0.00%	0.00%	
-	7043 Compute Encoder 0 0xa43041d60	7.910%	100.00%	100.00%	100.00%	198.4112 GiB/s	198.1323 GiB/s	0.2789 GiB/s	249.2425 GiB/s	67.34 MiB	97.06 KiB	76.59 MiB	178.50 KiB	96.73%	80.41 	72.68 MiB	2.89 MiB	0 bytes	0.00%	0 bytes	2.88 KiB	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	13.68%	0.79%	0.79%	0.49%	94.36%	0.00%	0.03%	1.96%	0.00%	0.14%	0.51%	0.51%	0.51%	0.51%	0.00%	0.03%	0.00%	2.18%	0.51%	0.12%	0.17%	4.6915 GiB/s	151.0739 GiB/s	0.7665 GiB/s	0.7905 GiB/s	0.7905 GiB/s	0.7905 GiB/s	0.7905 GiB/s	0 GiB/s	0 GiB/s	0.2209 GiB/s	0.2653 GiB/s	3.0490 GiB/s	3.3885 GiB/s	0.0529 GiB/s	0.0529 GiB/s	146.9845 GiB/s	0.1943 GiB/s	0 GiB/s	0 GiB/s	0.7905 GiB/s	0.28%	22.80%	0.00%	0.01%	0.00%	23.15%	0.00%	0.00%	0.00%	0.00%	0.07%	100.00%	0.00%	0.00%	
-	8276 Compute Encoder 0 0xa43042080	10.078%	92.41%	92.41%	92.41%	192.7550 GiB/s	192.4982 GiB/s	0.2567 GiB/s	208.1597 GiB/s	85.71 MiB	117.06 KiB	95.48 MiB	292.06 KiB	97.96%	80.10 	90.64 MiB	6.02 MiB	0 bytes	0.00%	0 bytes	13.12 KiB	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	16.08%	1.02%	1.02%	0.57%	92.88%	0.08%	0.03%	2.31%	0.00%	0.31%	0.59%	0.59%	0.59%	0.59%	0.09%	0.07%	0.00%	2.62%	0.59%	0.12%	0.31%	7.6474 GiB/s	193.3881 GiB/s	1.1493 GiB/s	1.1852 GiB/s	1.1852 GiB/s	1.1852 GiB/s	1.1852 GiB/s	0.1700 GiB/s	0.1735 GiB/s	0.6305 GiB/s	0.6321 GiB/s	4.6510 GiB/s	5.2727 GiB/s	0.0663 GiB/s	0.1471 GiB/s	186.7210 GiB/s	0.2369 GiB/s	0 GiB/s	0 GiB/s	1.1852 GiB/s	0.40%	26.94%	0.00%	0.01%	0.01%	27.43%	0.00%	0.00%	0.00%	0.00%	0.08%	92.41%	0.00%	0.00%	
-	9516 Compute Encoder 0 0xa43042440	8.491%	92.96%	92.96%	92.96%	219.6409 GiB/s	219.2397 GiB/s	0.4013 GiB/s	245.8723 GiB/s	80.27 MiB	150.44 KiB	83.42 MiB	206.81 KiB	97.09%	79.79 	80.60 MiB	5.09 MiB	0 bytes	0.00%	0 bytes	2.45 MiB	4.00 KiB	4.00 KiB	0 bytes	0 bytes	0.00%	0.00%	15.73%	1.18%	1.18%	0.65%	92.77%	0.00%	0.03%	2.56%	0.00%	0.14%	0.67%	0.67%	0.67%	0.67%	0.00%	0.03%	0.00%	2.87%	0.67%	0.13%	0.16%	9.0420 GiB/s	225.2887 GiB/s	1.5217 GiB/s	1.5693 GiB/s	1.5693 GiB/s	1.5693 GiB/s	1.5693 GiB/s	0.0005 GiB/s	0.0005 GiB/s	0.3180 GiB/s	0.3744 GiB/s	5.9975 GiB/s	6.7227 GiB/s	0.0728 GiB/s	0.0728 GiB/s	217.3780 GiB/s	0.3022 GiB/s	0 GiB/s	0 GiB/s	1.5693 GiB/s	0.52%	32.11%	0.00%	0.01%	0.00%	32.73%	0.00%	0.00%	0.00%	0.00%	0.10%	92.96%	0.00%	0.00%	
-	10478 Compute Encoder 0 0xa43042800	20.582%	87.11%	87.11%	87.11%	374.2069 GiB/s	374.1210 GiB/s	0.0859 GiB/s	394.8037 GiB/s	268.34 MiB	63.12 KiB	274.57 MiB	420.12 KiB	99.46%	79.82 	271.92 MiB	5.28 MiB	0 bytes	0.00%	0 bytes	735.12 KiB	2.00 KiB	2.00 KiB	0 bytes	0 bytes	0.00%	0.00%	4.81%	2.15%	2.15%	0.00%	84.11%	0.00%	0.00%	7.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.50%	0.00%	0.07%	0.00%	39.8172 GiB/s	424.3098 GiB/s	0.0002 GiB/s	0.0002 GiB/s	0.0002 GiB/s	0.0002 GiB/s	0.0002 GiB/s	0 GiB/s	0 GiB/s	0.0197 GiB/s	0.0218 GiB/s	33.9208 GiB/s	39.4474 GiB/s	0.0042 GiB/s	0.0042 GiB/s	390.3649 GiB/s	0.3435 GiB/s	0 GiB/s	0 GiB/s	0.0002 GiB/s	2.45%	75.35%	0.00%	0.00%	0.00%	77.88%	0.00%	0.00%	0.00%	0.00%	0.08%	87.11%	0.00%	0.00%	
