Thumbnails	Name	Execution Cost	Occupancy Manager Target	Instruction Throughput Limiter	Instruction Throughput Utilization	ALU Utilization	F32 Limiter	F32 Utilization	F16 Limiter	F16 Utilization	Integer and Complex Limiter	Integer and Complex Utilization	Integer and Conditional Limiter	Integer and Conditional Utilization	Texture Read Limiter	Texture Read Utilization	Texture Write Limiter	Texture Write Utilization	MMU Limiter	MMU Utilization	Last Level Cache Limiter	Last Level Cache Utilization	Partial Render Count	Shaded Vertex Read Limiter	Cull Unit Limiter	Clip Unit Limiter	Register L1 Read Accesses	Register L1 Write Accesses	Other L1 Write Accesses	Other L1 Read Accesses	Control Flow Utilization	Control Flow Limiter	Compute Shader Launch Utilization	Compute Shader Launch Limiter	Fragment Shader Launch Utilization	Fragment Shader Launch Limiter	Vertex Shader Launch Limiter	Vertex Shader Launch Utilization	
-	545 Compute Encoder 0 0xa43040fa0	6.858%	94.73%	13.34%	1.03%	1.61%	1.81%	1.61%	0.00%	0.00%	0.95%	0.65%	1.40%	1.27%	0.00%	0.00%	0.01%	0.01%	6.91%	6.73%	12.91%	7.98%	0 	0.00%	0.00%	0.00%	2.31%	2.61%	0.18%	0.15%	0.36%	0.59%	0.18%	0.22%	0.00%	0.00%	0.00%	0.00%	
-	1501 Compute Encoder 0 0xa43041540	9.253%	98.12%	14.96%	1.09%	1.70%	1.92%	1.71%	0.00%	0.00%	1.01%	0.69%	1.48%	1.34%	0.00%	0.00%	0.01%	0.01%	8.14%	7.92%	12.29%	8.17%	0 	0.00%	0.00%	0.00%	2.26%	2.52%	0.15%	0.13%	0.38%	0.63%	0.19%	0.17%	0.00%	0.00%	0.00%	0.00%	
-	2455 Compute Encoder 0 0xa43041680	7.572%	89.34%	15.04%	1.12%	1.74%	1.90%	1.70%	0.00%	0.00%	1.17%	0.78%	1.54%	1.40%	0.00%	0.00%	0.01%	0.01%	6.60%	6.40%	10.79%	6.66%	0 	0.00%	0.00%	0.00%	2.17%	2.44%	0.19%	0.16%	0.40%	0.66%	0.20%	0.17%	0.00%	0.00%	0.00%	0.00%	
-	3435 Compute Encoder 0 0xa43041720	10.206%	88.26%	12.96%	1.07%	1.66%	1.92%	1.71%	0.00%	0.00%	0.88%	0.61%	1.42%	1.30%	0.00%	0.00%	0.01%	0.01%	8.15%	7.91%	12.29%	8.18%	0 	0.00%	0.00%	0.00%	2.05%	2.33%	0.15%	0.13%	0.36%	0.60%	0.18%	0.31%	0.00%	0.00%	0.00%	0.00%	
-	4600 Compute Encoder 0 0xa430417c0	9.329%	91.49%	13.34%	1.11%	1.72%	1.96%	1.74%	0.00%	0.00%	1.03%	0.70%	1.50%	1.36%	0.00%	0.00%	0.01%	0.01%	7.76%	7.58%	11.53%	7.89%	0 	0.00%	0.00%	0.00%	2.29%	2.58%	0.17%	0.15%	0.38%	0.64%	0.19%	0.24%	0.00%	0.01%	0.00%	0.00%	
-	5833 Compute Encoder 0 0xa430419a0	8.536%	100.00%	13.21%	1.13%	1.77%	1.93%	1.69%	0.00%	0.00%	1.22%	0.82%	1.60%	1.43%	0.00%	0.00%	0.01%	0.01%	7.58%	7.39%	13.23%	8.22%	0 	0.00%	0.00%	0.00%	2.30%	2.57%	1.29%	1.38%	0.38%	0.66%	0.19%	0.32%	0.09%	0.49%	0.00%	0.00%	
-	7043 Compute Encoder 0 0xa43041d60	7.910%	100.00%	10.76%	0.85%	1.33%	1.51%	1.37%	0.00%	0.00%	0.74%	0.50%	1.13%	1.03%	0.00%	0.00%	0.01%	0.01%	7.14%	6.95%	12.31%	8.73%	0 	0.00%	0.00%	0.00%	1.96%	2.18%	0.17%	0.14%	0.29%	0.49%	0.14%	0.18%	0.00%	0.00%	0.00%	0.00%	
-	8276 Compute Encoder 0 0xa43042080	10.078%	92.41%	14.55%	1.13%	1.76%	1.99%	1.77%	0.00%	0.00%	1.05%	0.72%	1.53%	1.39%	0.00%	0.00%	0.01%	0.01%	7.30%	7.12%	13.60%	7.71%	0 	0.00%	0.00%	0.00%	2.31%	2.62%	0.31%	0.31%	0.39%	0.65%	0.20%	0.34%	0.01%	0.04%	0.01%	0.00%	
-	9516 Compute Encoder 0 0xa43042440	8.491%	92.96%	19.59%	1.35%	2.11%	2.36%	2.08%	0.00%	0.00%	1.33%	0.90%	1.87%	1.69%	0.00%	0.00%	0.01%	0.01%	7.80%	7.61%	13.58%	8.66%	0 	0.00%	0.00%	0.00%	2.56%	2.87%	0.16%	0.14%	0.48%	0.78%	0.25%	0.22%	0.00%	0.00%	0.00%	0.00%	
-	10478 Compute Encoder 0 0xa43042800	20.582%	87.11%	52.47%	2.23%	3.49%	4.38%	3.64%	0.00%	0.00%	1.25%	1.16%	3.08%	2.76%	0.00%	0.00%	0.00%	0.00%	14.83%	14.69%	25.25%	15.51%	0 	0.00%	0.00%	0.00%	7.31%	8.50%	0.00%	0.00%	0.74%	1.18%	0.43%	74.14%	0.00%	0.00%	0.00%	0.00%	
-	10837 Compute Encoder 0 0xa43042bc0	1.186%	100.00%	0.40%	0.12%	0.19%	0.03%	0.02%	0.00%	0.00%	0.35%	0.28%	0.27%	0.22%	0.00%	0.00%	0.00%	0.00%	0.19%	0.19%	0.19%	0.19%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.02%	0.01%	0.07%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
