Thumbnails	Name	Execution Cost	Texture Device Memory Bytes Written	Texture Device Memory Bytes Written	Texture Device Memory Bytes Written	Pixels Stored	Texture Pixels Stored	Attachment Pixels Stored	Lossless Compressed Pixels Stored	Lossy Compressed Pixels Stored	Texture Device Memory Bytes Written	Compression Ratio of Texture Memory Written	Predicated Texture Thread Writes	2X MSAA Resolved Pixels Stored	4X MSAA Resolved Pixels Stored	Average Samples Per Pixel	
-	545 Compute Encoder 0 0xa43040fa0	6.858%	0 bytes	0 bytes	0 bytes	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0.00 	100.00%	0.00%	0.00%	0 	
-	1501 Compute Encoder 0 0xa43041540	9.253%	0 bytes	0 bytes	0 bytes	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0.00 	100.00%	0.00%	0.00%	0 	
-	2455 Compute Encoder 0 0xa43041680	7.572%	0 bytes	0 bytes	0 bytes	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0.00 	100.00%	0.00%	0.00%	0 	
-	3435 Compute Encoder 0 0xa43041720	10.206%	2.50 KiB	2.50 KiB	2.50 KiB	0 	0.00%	0.00%	0.00%	0.00%	2.50 KiB	0.00 	100.00%	0.00%	0.00%	0 	
-	4600 Compute Encoder 0 0xa430417c0	9.329%	0 bytes	0 bytes	0 bytes	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0.00 	100.00%	0.00%	0.00%	0 	
-	5833 Compute Encoder 0 0xa430419a0	8.536%	2.62 KiB	2.62 KiB	2.62 KiB	0 	0.00%	0.00%	0.00%	0.00%	2.62 KiB	0.00 	100.00%	0.00%	0.00%	0 	
-	7043 Compute Encoder 0 0xa43041d60	7.910%	2.88 KiB	2.88 KiB	2.88 KiB	0 	0.00%	0.00%	0.00%	0.00%	2.88 KiB	0.00 	100.00%	0.00%	0.00%	0 	
-	8276 Compute Encoder 0 0xa43042080	10.078%	13.12 KiB	13.12 KiB	13.12 KiB	0 	0.00%	0.00%	0.00%	0.00%	13.12 KiB	0.00 	100.00%	0.00%	0.00%	0 	
-	9516 Compute Encoder 0 0xa43042440	8.491%	2.45 MiB	2.45 MiB	2.45 MiB	0 	0.00%	0.00%	0.00%	0.00%	2.45 MiB	0.00 	100.00%	0.00%	0.00%	0 	
-	10478 Compute Encoder 0 0xa43042800	20.582%	735.12 KiB	735.12 KiB	735.12 KiB	0 	0.00%	0.00%	0.00%	0.00%	735.12 KiB	0.00 	100.00%	0.00%	0.00%	0 	
-	10837 Compute Encoder 0 0xa43042bc0	1.186%	0 bytes	0 bytes	0 bytes	0 	0.00%	0.00%	0.00%	0.00%	0 bytes	0.00 	100.00%	0.00%	0.00%	0 	
