Thumbnails	Name	Execution Cost	Depth Texture Device Memory Bytes Written	Depth Texture Device Memory Bytes Written	Depth Texture Device Memory Bytes Written	Depth Texture Device Memory Bytes Read	Depth Texture Device Memory Bytes Read	Depth Texture Device Memory Bytes Read	Depth Test Utilization	Depth Test Utilization	Depth Test Utilization	Depth Load Utilization	Depth Load Utilization	Depth Load Utilization	Pixels Rasterized	Fragments Rasterized per Primitive	Fragment Generator Primitive Processing	Rasterizer Sample Processing	PreZ Test Fails	Depth Texture Bytes Loaded	Depth Texture Device Memory Bytes Read	Depth Test Utilization	Depth Load Utilization	Depth Store Utilization	Depth Texture Bytes Stored	Depth Texture Device Memory Bytes Written	
-	545 Compute Encoder 0 0xa43040fa0	6.858%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	1501 Compute Encoder 0 0xa43041540	9.253%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	2455 Compute Encoder 0 0xa43041680	7.572%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	3435 Compute Encoder 0 0xa43041720	10.206%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	4600 Compute Encoder 0 0xa430417c0	9.329%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	5833 Compute Encoder 0 0xa430419a0	8.536%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	7043 Compute Encoder 0 0xa43041d60	7.910%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	8276 Compute Encoder 0 0xa43042080	10.078%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	9516 Compute Encoder 0 0xa43042440	8.491%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	10478 Compute Encoder 0 0xa43042800	20.582%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
-	10837 Compute Encoder 0 0xa43042bc0	1.186%	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0.00 	0.00%	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	
