Thumbnails	Name	Execution Cost	Texture L1 Bytes Read	Texture L1 Bytes Read	Texture L1 Bytes Read	Texture Cache Miss Rate	Texture Cache Miss Rate	Texture Cache Miss Rate	Texture Device Memory Bytes Read	Texture Device Memory Bytes Read	Texture Device Memory Bytes Read	Texture Read Cache Limiter	Texture Read Cache Utilization	Texture Filtering Limiter	Texture Filtering Utilization	Texture Cache Miss Rate	Texture Read Cache Miss Limiter	Texture L1 Bytes Read	Texture Device Memory Bytes Read	Texture Accesses	Texture Sample Calls	Texture Gather Calls	Mipmap Linear Sampler Calls	Mipmap Nearest Sampler Calls	Block Compressed Texture Samples	Lossless Compressed Texture Samples	Lossy Compressed Texture Samples	Uncompressed Texture Samples	Explicit Gradient Texture Samples	Fast Point Sampling Speedup	Lossless Compressed Texture Bytes From Cache	Lossy Compressed Texture Bytes From Cache	Average Anisotropic Level	Predicated Texture Thread Reads	Compression Ratio of Texture Memory Read	1D Texture Sampler Calls	2D Texture Sampler Calls	3D Texture Sampler Calls	1D Texture Array Sampler Calls	2D Texture Array Sampler Calls	Cube Texture Sampler Calls	Cube Array Texture Sampler Calls	2D MSAA Texture Sampler Calls	Sparse Texture Translation Limiter	Sparse Texture Translation Requests	Average Sparse Texture Tile Size	Texture Quads	Anisotropic Sampler Calls	Total Resolved Pixels	
-	545 Compute Encoder 0 0xa43040fa0	6.858%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	1501 Compute Encoder 0 0xa43041540	9.253%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	2455 Compute Encoder 0 0xa43041680	7.572%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	3435 Compute Encoder 0 0xa43041720	10.206%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	4600 Compute Encoder 0 0xa430417c0	9.329%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	5833 Compute Encoder 0 0xa430419a0	8.536%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	18.25 KiB	18.25 KiB	18.25 KiB	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	18.25 KiB	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	7043 Compute Encoder 0 0xa43041d60	7.910%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	8276 Compute Encoder 0 0xa43042080	10.078%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	9516 Compute Encoder 0 0xa43042440	8.491%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	10478 Compute Encoder 0 0xa43042800	20.582%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
