Thumbnails	Name	Execution Cost	VS Invocations	Sampler Calls/VS Invocation	VS Texture Cache Miss Rate	VS Occupancy	VS ALU Instructions	VS ALU Float Instructions	VS ALU Half Instructions	VS ALU Integer and Conditional Instructions	VS ALU Integer and Complex Instructions	VS Invocation Utilization	VS Bytes Read From Device Memory	VS Bytes Written To Device Memory	VS Device Memory Bandwidth	VS Buffer Device Memory Bytes Read	VS Buffer Device Memory Bytes Written	VS Device Atomic Bytes Read	VS Device Atomic Bytes Written	VS Last Level Cache Bytes Read	VS Last Level Cache Bytes Written	VS Texture L1 Bytes Read	VS ALU Performance	
-	545 Compute Encoder 0 0xa43040fa0	6.858%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	1501 Compute Encoder 0 0xa43041540	9.253%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	2455 Compute Encoder 0 0xa43041680	7.572%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	3435 Compute Encoder 0 0xa43041720	10.206%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	4600 Compute Encoder 0 0xa430417c0	9.329%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	5833 Compute Encoder 0 0xa430419a0	8.536%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	7043 Compute Encoder 0 0xa43041d60	7.910%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	8276 Compute Encoder 0 0xa43042080	10.078%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	9516 Compute Encoder 0 0xa43042440	8.491%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	10478 Compute Encoder 0 0xa43042800	20.582%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
-	10837 Compute Encoder 0 0xa43042bc0	1.186%	0 	0.00 	0.00%	0.00%	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 GiB/s	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 bytes	0 	
