Thumbnails	Name	Execution Cost	Kernel Invocations	Kernel Texture Cache Miss Rate	Kernel Occupancy	Kernel ALU Instructions	Kernel ALU Float Instructions	Kernel ALU Half Instructions	Kernel ALU Integer and Conditional Instructions	Kernel ALU Integer and Complex Instructions	Kernel ALU Performance
-	546 Compute Encoder 0 0x79f00c8c0	3.520%	8,058 	0.00%	12.90%	69,307,856 	50.22%	0.00%	39.44%	10.35%	69,307,856
-	1501 Compute Encoder 0 0x79f00dfe0	4.917%	11,297 	0.00%	12.39%	131,979,712 	47.66%	0.02%	39.98%	12.34%	131,979,712
-	2615 Compute Encoder 0 0x79f00e260	3.781%	8,749 	0.00%	12.30%	74,161,424 	49.52%	0.00%	39.66%	10.82%	74,161,424
-	3851 Compute Encoder 0 0x79f00e580	4.763%	10,871 	0.00%	11.96%	149,620,320 	49.36%	0.00%	37.99%	12.65%	149,620,320
-	5096 Compute Encoder 0 0x79f00e940	4.826%	11,356 	0.00%	12.33%	103,922,272 	50.75%	0.00%	39.26%	9.99%	103,922,272
-	6329 Compute Encoder 0 0x79f00ed00	4.533%	0 	0.00%	12.93%	98,120,848 	49.41%	0.00%	39.88%	10.71%	98,120,848
-	7539 Compute Encoder 0 0x79f00f0c0	4.007%	8,453 	0.00%	11.81%	98,686,112 	45.68%	8.58%	36.86%	8.88%	98,686,112
-	8772 Compute Encoder 0 0x79f00f480	4.915%	11,566 	0.00%	12.46%	106,026,320 	50.66%	0.01%	39.32%	10.00%	106,026,320
-	10012 Compute Encoder 0 0x79f00f840	4.514%	11,045 	0.00%	15.93%	96,241,344 	47.30%	3.51%	38.95%	10.25%	96,241,344
-	10974 Compute Encoder 0 0x79f00fac0	9.740%	0 	0.00%	41.67%	316,725,744 	52.08%	0.00%	39.62%	8.30%	316,725,744
-	11333 Compute Encoder 0 0x79f00fe80	0.570%	32 	0.00%	0.07%	1,869,712 	13.50%	0.69%	50.76%	35.05%	1,869,712
-	11823 Compute Encoder 0 0x7a0834280	0.003%	14 	0.00%	12.19%	566,272 	0.00%	0.00%	99.82%	0.18%	566,272
-	12189 Compute Encoder 0 0x7a0834320	3.747%	7,830 	0.00%	12.12%	89,553,408 	44.83%	8.91%	36.88%	9.38%	89,553,408
-	13138 Compute Encoder 0 0x7a08343c0	3.743%	8,681 	0.00%	12.44%	116,285,568 	49.22%	0.00%	39.43%	11.35%	116,285,568
-	14105 Compute Encoder 0 0x7a0834460	4.650%	10,869 	0.00%	16.18%	89,805,808 	51.61%	0.00%	39.05%	9.34%	89,805,808
-	15089 Compute Encoder 0 0x7a08345a0	4.232%	9,679 	0.00%	9.88%	140,675,344 	43.16%	1.24%	40.69%	14.91%	140,675,344
-	16051 Compute Encoder 0 0x7a0834640	4.179%	9,653 	0.00%	8.94%	105,410,080 	49.87%	0.00%	39.35%	10.78%	105,410,080
-	17039 Compute Encoder 0 0x7a0834780	4.813%	11,264 	0.00%	12.50%	125,374,256 	45.75%	6.74%	38.11%	9.41%	125,374,256
-	18011 Compute Encoder 0 0x7a0834960	3.598%	8,066 	0.00%	12.86%	74,420,848 	49.87%	0.14%	39.92%	10.07%	74,420,848
-	18976 Compute Encoder 0 0x7a0834b40	4.851%	11,294 	0.00%	12.45%	138,876,432 	50.09%	0.04%	37.23%	12.63%	138,876,432
-	19952 Compute Encoder 0 0x7a0834d20	3.857%	8,493 	0.00%	12.82%	79,480,160 	48.62%	0.00%	40.73%	10.65%	79,480,160
-	20919 Compute Encoder 0 0x7a0834f00	11.487%	44,951 	0.00%	43.67%	393,649,520 	51.47%	0.00%	40.13%	8.40%	393,649,520
-	21903 Compute Encoder 0 0x7a0834280	0.749%	32 	0.00%	0.07%	22,733,776 	36.99%	0.49%	31.46%	31.07%	22,733,776
