Index,Encoder FunctionIndex,CommandBuffer Label,Encoder Label,,"1D Texture Array Sampler Calls","1D Texture Sampler Calls","2D MSAA Texture Sampler Calls","2D Texture Array Sampler Calls","2D Texture Sampler Calls","2X MSAA Resolved Pixels Stored","3D Texture Sampler Calls","4X MSAA Resolved Pixels Stored","ALU Utilization","Anisotropic Sampler Calls","Attachment Pixels Stored","Average Anisotropic Level","Average Pixel Overdraw","Average Samples Per Pixel","Average Sparse Texture Tile Size","Back Face Clipped Primitives","Block Compressed Texture Samples","Buffer Device Memory Bytes Read","Buffer Device Memory Bytes Written","Buffer L1 Miss Rate","Buffer L1 Read Accesses","Buffer L1 Read Bandwidth","Buffer L1 Write Accesses","Buffer L1 Write Bandwidth","Bytes Read From Device Memory","Bytes Written To Device Memory","Clip Unit Limiter","Compression Ratio of Texture Memory Read","Compression Ratio of Texture Memory Written","Compute Shader Launch Limiter","Compute Shader Launch Utilization","Control Flow Limiter","Control Flow Utilization","Cube Array Texture Sampler Calls","Cube Texture Sampler Calls","Cull Unit Limiter","Depth Load Utilization","Depth Load Utilization","Depth Store Utilization","Depth Test Utilization","Depth Test Utilization","Depth Texture Bytes Loaded","Depth Texture Bytes Stored","Depth Texture Device Memory Bytes Read","Depth Texture Device Memory Bytes Read","Depth Texture Device Memory Bytes Written","Depth Texture Device Memory Bytes Written","Device Atomic Bytes Read","Device Atomic Bytes Written","Device Memory Bandwidth","Explicit Gradient Texture Samples","F16 Limiter","F16 Utilization","F32 Limiter","F32 Utilization","FS ALU Float Instructions","FS ALU Half Instructions","FS ALU Instructions","FS ALU Integer and Complex Instructions","FS ALU Integer and Conditional Instructions","FS ALU Performance","FS Buffer Device Memory Bytes Read","FS Buffer Device Memory Bytes Written","FS Bytes Read From Device Memory","FS Bytes Written To Device Memory","FS Device Atomic Bytes Read","FS Device Atomic Bytes Written","FS Device Memory Bandwidth","FS Helper Invocations","FS Helper Invocations Inefficiency","FS Invocation Utilization","FS Invocations","FS Invocations per Primitive","FS Last Level Cache Bytes Read","FS Last Level Cache Bytes Written","FS Occupancy","FS Texture Cache Miss Rate","FS Texture L1 Bytes Read","FS Tiles Processed","Fast Point Sampling Speedup","Fragment Generator Pixel Processing","Fragment Generator Primitive Processing","Fragment Shader Launch Limiter","Fragment Shader Launch Utilization","Fragments Rasterized per Primitive","GPU Read Bandwidth","GPU Write Bandwidth","ImageBlock L1 Read Accesses","ImageBlock L1 Write Accesses","Imageblock L1 Read Bandwidth","Imageblock L1 Write Bandwidth","Instruction Throughput Limiter","Instruction Throughput Utilization","Integer and Complex Limiter","Integer and Complex Utilization","Integer and Conditional Limiter","Integer and Conditional Utilization","Kernel ALU Float Instructions","Kernel ALU Half Instructions","Kernel ALU Instructions","Kernel ALU Integer and Complex Instructions","Kernel ALU Integer and Conditional Instructions","Kernel ALU Performance","Kernel Invocations","Kernel Occupancy","Kernel Texture Cache Miss Rate","L1 Buffer Residency","L1 Cache Limiter","L1 Cache Utilization","L1 Eviction Rate","L1 Imageblock Residency","L1 Other Residency","L1 RT Scratch Residency","L1 RT Scratch Residency","L1 Read Bandwidth","L1 Register Residency","L1 Stack Residency","L1 Threadgroup Residency","L1 Total Residency","L1 Write Bandwidth","Last Level Cache Bandwidth","Last Level Cache Bytes Read","Last Level Cache Bytes Written","Last Level Cache Limiter","Last Level Cache Miss Rate","Last Level Cache Utilization","Lossless Compressed Pixels Stored","Lossless Compressed Texture Bytes From Cache","Lossless Compressed Texture Samples","Lossy Compressed Pixels Stored","Lossy Compressed Texture Bytes From Cache","Lossy Compressed Texture Samples","MMU Limiter","MMU TLB Miss Rate","MMU Utilization","Mipmap Linear Sampler Calls","Mipmap Nearest Sampler Calls","New Triangles Generated","New Vertices Generated","Occupancy Manager Target","Occupancy Manager Target","Other L1 Read Accesses","Other L1 Read Accesses","Other L1 Write Accesses","Other L1 Write Accesses","Partial Render Count","Pixels Rasterized","Pixels Stored","Pixels per Vertex","Post Clip Cull Primitive Processing","Post Clipped Primitives","Pre Cull Primitive Processing","PreZ Test Fails","Predicated Texture Thread Reads","Predicated Texture Thread Writes","Primitive Block Tile Intersections","Primitives","Primitives Clipped","Primitives Culled (Back-Face)","Primitives Culled (Guard-Band)","Primitives Culled (Off-Screen)","Primitives Culled (Zero-Area)","Primitives Per Tile","Primitives Rendered","RT Intersect Ray Threads","RT Scratch L1 Read Accesses","RT Scratch L1 Write Accesses","RT Unit Active","Rasterizer Sample Processing","Ray Occupancy","Register L1 Read Accesses","Register L1 Read Accesses","Register L1 Write Accesses","Register L1 Write Accesses","Sampler Calls/FS Invocation","Sampler Calls/VS Invocation","Samples Shaded Per Tile","Shaded Vertex Read Limiter","Small Triangles Clipped Pimitives","Sparse Texture Translation Limiter","Sparse Texture Translation Requests","Stack L1 Read Accesses","Stack L1 Read Bandwidth","Stack L1 Write Accesses","Stack L1 Write Bandwidth","Texture Accesses","Texture Cache Miss Rate","Texture Cache Miss Rate","Texture Device Memory Bytes Read","Texture Device Memory Bytes Read","Texture Device Memory Bytes Written","Texture Device Memory Bytes Written","Texture Filtering Limiter","Texture Filtering Utilization","Texture Gather Calls","Texture L1 Bytes Read","Texture L1 Bytes Read","Texture Pixels Stored","Texture Quads","Texture Read Cache Limiter","Texture Read Cache Miss Limiter","Texture Read Cache Utilization","Texture Read Limiter","Texture Read Utilization","Texture Sample Calls","Texture Write Limiter","Texture Write Utilization","ThreadGroup L1 Read Accesses","ThreadGroup L1 Write Accesses","ThreadGroup L1 Write Accesses","Threadgroup Memory L1 Read Bandwidth","Threadgroup Memory L1 Write Bandwidth","Threadgroup Memory L1 Write Bandwidth","Tiled Vertex Buffer Bytes","Tiled Vertex Buffer Primitive Blocks Bytes","Tiling Block Utilization","Total Resolved Pixels","Uncompressed Texture Samples","VS ALU Float Instructions","VS ALU Half Instructions","VS ALU Instructions","VS ALU Integer and Complex Instructions","VS ALU Integer and Conditional Instructions","VS ALU Performance","VS Buffer Device Memory Bytes Read","VS Buffer Device Memory Bytes Written","VS Bytes Read From Device Memory","VS Bytes Written To Device Memory","VS Device Atomic Bytes Read","VS Device Atomic Bytes Written","VS Device Memory Bandwidth","VS Invocation Utilization","VS Invocations","VS Last Level Cache Bytes Read","VS Last Level Cache Bytes Written","VS Occupancy","VS Texture Cache Miss Rate","VS Texture L1 Bytes Read","Vertex Shader Launch Limiter","Vertex Shader Launch Utilization","Vertices","Vertices Reused"
1,546,Command Buffer 0 0x79ee51880,Compute Encoder 0 0x79f00c8c0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,80.11,93.48,157.45,0.12,0.21,2312832.00,312896.00,0.00,0.00,0.00,0.23,0.18,0.58,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.60,0.00,0.00,0.00,1.79,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.58,1.03,0.00,0.00,0.00,0.00,12.77,1.02,0.96,0.66,1.38,1.25,50.22,0.00,69307856.00,10.35,39.44,69307856.00,8058.00,12.90,0.00,22.64,0.91,0.91,0.00,0.00,0.07,0.00,0.00,162.56,0.36,0.00,0.01,23.07,5.87,0.03,69120.00,3648.00,0.05,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,67.85,0.19,0.00,0.00,0.00,0.00,100.00,100.00,0.15,0.15,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,2.27,2.55,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.04,0.06,0.00,0.00,0.00,0.00,0.00,42240.00,42240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.58,0.60,0.60,0.97,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,1501,Command Buffer 1 0x79ee51180,Compute Encoder 0 0x79f00dfe0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14848.00,0.00,79.31,79.07,155.63,0.10,0.20,512.00,40384.00,0.00,0.00,0.00,0.15,0.16,0.62,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6144.00,6144.00,0.10,0.00,0.00,0.00,2.05,1.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.29,0.00,0.00,0.10,3.72,3.74,7.31,7.36,12.94,1.18,1.36,0.92,1.69,1.50,47.66,0.02,131979712.00,12.34,39.98,131979712.00,11297.00,12.39,0.00,22.00,0.97,0.97,0.00,0.15,0.08,0.00,0.00,176.13,0.34,0.00,0.01,22.57,20.70,0.01,50304.00,145024.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.26,0.00,0.00,0.00,0.00,97.80,97.80,4.19,4.19,3.92,3.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,1.98,2.22,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.03,0.05,0.00,0.00,0.00,0.00,0.00,960.00,960.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.50,0.52,0.52,0.98,1.01,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
3,2615,Command Buffer 2 0x79ee51c00,Compute Encoder 0 0x79f00e260,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,448.00,0.00,79.97,93.16,160.99,0.13,0.22,512.00,154816.00,0.00,0.00,0.00,0.15,0.17,0.58,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,1.76,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,12.11,1.01,1.01,0.68,1.38,1.25,49.52,0.00,74161424.00,10.82,39.66,74161424.00,8749.00,12.30,0.00,21.33,0.88,0.88,0.00,0.00,0.07,0.00,0.00,166.49,0.35,0.00,0.01,21.75,6.31,0.01,11264.00,6272.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.14,0.00,0.00,0.00,0.00,90.13,90.13,0.16,0.16,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.25,2.25,2.54,2.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.04,0.06,0.00,0.00,0.00,25280.00,25280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.74,0.76,0.76,1.27,1.31,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,3851,Command Buffer 3 0x79ee52300,Compute Encoder 0 0x79f00e580,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.63,75.21,157.78,0.10,0.21,512.00,9280.00,0.00,0.00,0.00,0.27,0.16,0.64,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,2.53,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.31,0.00,0.00,0.02,3.70,3.71,7.76,7.77,13.10,1.31,1.53,1.07,1.89,1.61,49.36,0.00,149620320.00,12.65,37.99,149620320.00,10871.00,11.96,0.00,21.85,1.02,1.02,0.04,0.22,0.10,0.00,0.00,183.66,0.39,0.00,0.00,22.56,26.13,0.01,512.00,4096.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,100.00,100.00,4.59,4.59,4.24,4.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,3.70,4.06,4.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.02,0.05,0.00,0.00,0.00,349824.00,349824.00,2176.00,2176.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.31,0.32,0.32,0.66,0.68,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,5096,Command Buffer 4 0x79ee52a00,Compute Encoder 0 0x79f00e940,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.23,93.33,157.17,0.12,0.20,512.00,5568.00,0.00,0.00,0.00,0.21,0.16,0.54,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,1.69,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,12.04,0.95,0.86,0.59,1.28,1.16,50.75,0.00,103922272.00,9.99,39.26,103922272.00,11356.00,12.33,0.00,21.94,0.85,0.85,0.00,0.00,0.06,0.00,0.00,162.41,0.34,0.00,0.01,22.35,5.99,0.01,512.00,10368.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,66.21,0.01,0.00,0.00,0.00,0.00,100.00,100.00,0.14,0.14,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.38,2.38,2.67,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.03,0.05,0.00,0.00,0.00,25984.00,25984.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.56,0.58,0.58,0.94,0.97,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,6329,Command Buffer 5 0x79ee53100,Compute Encoder 0 0x79f00ed00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38208.00,0.00,79.19,91.85,143.99,1.22,1.91,13504.00,92736.00,0.00,0.00,0.00,0.92,0.19,0.51,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4096.00,4096.00,0.28,0.00,0.00,0.00,1.56,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.24,0.00,0.00,0.00,0.00,12.32,0.89,0.87,0.60,1.23,1.11,49.41,0.00,98120848.00,10.71,39.88,98120848.00,0.00,12.93,0.00,20.65,0.79,0.79,0.00,0.00,0.06,0.00,0.00,149.14,0.35,0.00,0.01,21.07,7.62,0.41,436288.00,94848.00,0.08,57.02,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.11,98.23,0.11,0.00,0.00,0.00,0.00,100.00,100.00,0.14,0.14,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.49,2.49,2.80,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.03,0.05,0.00,0.00,0.00,0.00,0.00,256.00,256.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.63,0.65,0.65,0.98,1.01,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,7539,Command Buffer 6 0x79ee53800,Compute Encoder 0 0x79f00f0c0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.37,81.04,177.01,0.10,0.22,74496.00,3648.00,0.00,0.00,0.00,0.21,0.18,0.73,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.43,0.36,2.20,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.09,0.00,0.22,0.01,1.86,2.11,4.07,4.60,12.47,1.32,1.05,0.75,1.73,1.55,45.68,8.58,98686112.00,8.88,36.86,98686112.00,8453.00,11.81,0.00,22.22,1.04,1.04,0.00,0.13,0.09,0.00,0.00,197.35,0.35,0.00,0.01,22.80,21.07,8.53,19840.00,603264.00,1.50,40.91,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.88,0.00,0.00,0.00,0.00,0.00,86.12,86.12,4.31,4.31,4.28,4.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,1.89,2.15,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.44,0.96,0.00,0.00,0.00,0.00,0.00,2560.00,2560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,1.22,0.57,0.57,2.66,1.24,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00
8,8772,Command Buffer 7 0x79e59ea00,Compute Encoder 0 0x79f00f480,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.22,93.46,160.01,0.12,0.20,704.00,40128.00,0.00,0.00,0.00,0.28,0.17,0.55,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,1.71,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.10,0.05,0.08,0.08,0.13,12.01,0.97,0.88,0.60,1.30,1.18,50.66,0.01,106026320.00,10.00,39.32,106026320.00,11566.00,12.46,0.00,22.22,0.87,0.87,0.00,0.01,0.07,0.00,0.00,165.18,0.33,0.00,0.01,22.62,6.02,6.16,704.00,1488704.00,1.31,58.29,1.31,0.00,0.00,0.00,0.00,0.00,0.00,0.02,29.49,0.02,0.00,0.00,0.00,0.00,98.20,98.20,0.17,0.17,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.23,2.23,2.53,2.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.55,0.57,0.57,0.95,0.98,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,10012,Command Buffer 8 0x79ea5c380,Compute Encoder 0 0x79f00f840,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.94,87.12,192.26,0.12,0.26,512.00,744576.00,0.00,0.00,0.00,0.19,0.22,0.73,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.97,0.00,0.17,0.14,2.20,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.03,0.00,0.00,1.97,0.80,0.99,1.77,2.18,16.10,1.29,1.21,0.83,1.76,1.59,47.30,3.51,96241344.00,10.25,38.95,96241344.00,11045.00,15.93,0.00,26.10,1.08,1.08,0.00,0.05,0.09,0.00,0.00,206.12,0.47,0.00,0.01,26.74,14.57,0.01,328832.00,4992.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.43,0.00,0.00,0.00,0.00,93.94,93.94,1.84,1.84,1.83,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.45,2.45,2.79,2.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.18,0.41,0.00,0.00,0.00,0.00,0.00,384.00,384.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,1.16,0.70,0.70,2.56,1.54,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,10974,Command Buffer 9 0x79ea5ca80,Compute Encoder 0 0x79f00fac0,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.46,83.22,308.25,2.01,7.46,512.00,805568.00,0.00,0.00,0.00,59.04,0.47,0.93,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.00,0.00,0.00,3.39,2.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.13,0.00,0.00,0.00,0.00,41.09,1.73,0.96,0.90,2.39,2.14,52.08,0.00,316725744.00,8.30,39.62,316725744.00,0.00,41.67,0.00,59.44,1.73,1.73,0.00,0.00,0.06,0.00,0.00,333.54,1.78,0.00,0.00,61.29,36.84,0.01,37888.00,17856.00,0.00,52.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.59,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.82,6.82,7.93,7.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
