Thumbnails	Name	Execution Cost	Occupancy Manager Target	Instruction Throughput Limiter	Instruction Throughput Utilization	ALU Utilization	F32 Limiter	F32 Utilization	F16 Limiter	F16 Utilization	Integer and Complex Limiter	Integer and Complex Utilization	Integer and Conditional Limiter	Integer and Conditional Utilization	Texture Read Limiter	Texture Read Utilization	Texture Write Limiter	Texture Write Utilization	MMU Limiter	MMU Utilization	Last Level Cache Limiter	Last Level Cache Utilization	Partial Render Count	Shaded Vertex Read Limiter	Cull Unit Limiter	Clip Unit Limiter	Register L1 Read Accesses	Register L1 Write Accesses	Other L1 Write Accesses	Other L1 Read Accesses	Control Flow Utilization	Control Flow Limiter	Compute Shader Launch Utilization	Compute Shader Launch Limiter	Fragment Shader Launch Utilization	Fragment Shader Launch Limiter	Vertex Shader Launch Limiter	Vertex Shader Launch Utilization	
-	546 Compute Encoder 0 0x79f00c8c0	3.520%	100.00%	12.77%	1.02%	1.59%	1.79%	1.60%	0.00%	0.00%	0.96%	0.66%	1.38%	1.25%	0.00%	0.00%	0.01%	0.01%	0.24%	0.19%	0.05%	0.00%	0 	0.00%	0.00%	0.00%	2.27%	2.55%	0.18%	0.15%	0.35%	0.58%	0.18%	0.23%	0.00%	0.00%	0.00%	0.00%	
-	1501 Compute Encoder 0 0x79f00dfe0	4.917%	97.80%	12.94%	1.18%	1.87%	2.05%	1.78%	0.00%	0.00%	1.36%	0.92%	1.69%	1.50%	0.00%	0.00%	0.01%	0.01%	0.31%	0.26%	0.00%	0.00%	0 	0.00%	0.00%	0.00%	1.98%	2.22%	3.92%	4.19%	0.32%	0.62%	0.16%	0.15%	0.29%	1.23%	0.01%	0.00%	
-	2615 Compute Encoder 0 0x79f00e260	3.781%	90.13%	12.11%	1.01%	1.58%	1.76%	1.56%	0.00%	0.00%	1.01%	0.68%	1.38%	1.25%	0.00%	0.00%	0.01%	0.01%	0.20%	0.14%	0.00%	0.00%	0 	0.00%	0.00%	0.00%	2.25%	2.54%	0.19%	0.16%	0.35%	0.58%	0.17%	0.15%	0.00%	0.00%	0.00%	0.00%	
-	3851 Compute Encoder 0 0x79f00e580	4.763%	100.00%	13.10%	1.31%	2.12%	2.53%	2.10%	0.00%	0.00%	1.53%	1.07%	1.89%	1.61%	0.00%	0.00%	0.01%	0.01%	0.01%	0.01%	0.00%	0.00%	0 	0.00%	0.00%	0.00%	3.70%	4.06%	4.24%	4.59%	0.33%	0.64%	0.16%	0.27%	0.31%	1.79%	0.00%	0.00%	
-	5096 Compute Encoder 0 0x79f00e940	4.826%	100.00%	12.04%	0.95%	1.47%	1.69%	1.50%	0.00%	0.00%	0.86%	0.59%	1.28%	1.16%	0.00%	0.00%	0.01%	0.01%	0.01%	0.01%	0.00%	0.00%	0 	0.00%	0.00%	0.00%	2.38%	2.67%	0.16%	0.14%	0.32%	0.54%	0.16%	0.21%	0.00%	0.00%	0.00%	0.00%	
-	6329 Compute Encoder 0 0x79f00ed00	4.533%	100.00%	12.32%	0.89%	1.39%	1.56%	1.38%	0.00%	0.00%	0.87%	0.60%	1.23%	1.11%	0.00%	0.00%	0.01%	0.01%	0.11%	0.11%	0.08%	0.08%	0 	0.00%	0.00%	0.00%	2.49%	2.80%	0.17%	0.14%	0.31%	0.51%	0.19%	0.92%	0.00%	0.00%	0.00%	0.00%	
-	7539 Compute Encoder 0 0x79f00f0c0	4.007%	86.12%	12.47%	1.32%	2.10%	2.20%	1.92%	0.43%	0.36%	1.05%	0.75%	1.73%	1.55%	0.00%	0.00%	0.01%	0.01%	0.00%	0.00%	1.50%	1.50%	0 	0.00%	0.00%	0.00%	1.89%	2.15%	4.28%	4.31%	0.43%	0.73%	0.18%	0.21%	0.09%	0.66%	0.01%	0.01%	
-	8772 Compute Encoder 0 0x79f00f480	4.915%	98.20%	12.01%	0.97%	1.50%	1.71%	1.52%	0.00%	0.00%	0.88%	0.60%	1.30%	1.18%	0.00%	0.00%	0.01%	0.01%	0.02%	0.02%	1.31%	1.31%	0 	0.00%	0.00%	0.00%	2.23%	2.53%	0.19%	0.17%	0.33%	0.55%	0.17%	0.28%	0.00%	0.02%	0.00%	0.00%	
-	10012 Compute Encoder 0 0x79f00f840	4.514%	93.94%	16.10%	1.29%	2.03%	2.20%	1.92%	0.17%	0.14%	1.21%	0.83%	1.76%	1.59%	0.00%	0.00%	0.01%	0.01%	0.43%	0.43%	0.00%	0.00%	0 	0.00%	0.00%	0.00%	2.45%	2.79%	1.83%	1.84%	0.44%	0.73%	0.22%	0.19%	0.03%	0.24%	0.00%	0.00%	
-	10974 Compute Encoder 0 0x79f00fac0	9.740%	100.00%	41.09%	1.73%	2.70%	3.39%	2.81%	0.00%	0.00%	0.96%	0.90%	2.39%	2.14%	0.00%	0.00%	0.00%	0.00%	0.59%	0.59%	0.00%	0.00%	0 	0.00%	0.00%	0.00%	6.82%	7.93%	0.00%	0.00%	0.57%	0.93%	0.47%	59.04%	0.00%	0.00%	0.00%	0.00%	
