Thumbnails	Name	Execution Cost	Texture L1 Bytes Read	Texture L1 Bytes Read	Texture Cache Miss Rate	Texture Cache Miss Rate	Texture Device Memory Bytes Read	Texture Device Memory Bytes Read	Texture Read Cache Limiter	Texture Read Cache Utilization	Texture Filtering Limiter	Texture Filtering Utilization	Texture Cache Miss Rate	Texture Read Cache Miss Limiter	Texture L1 Bytes Read	Texture Device Memory Bytes Read	Texture Accesses	Texture Sample Calls	Texture Gather Calls	Mipmap Linear Sampler Calls	Mipmap Nearest Sampler Calls	Block Compressed Texture Samples	Lossless Compressed Texture Samples	Lossy Compressed Texture Samples	Uncompressed Texture Samples	Explicit Gradient Texture Samples	Fast Point Sampling Speedup	Lossless Compressed Texture Bytes From Cache	Lossy Compressed Texture Bytes From Cache	Average Anisotropic Level	Predicated Texture Thread Reads	Compression Ratio of Texture Memory Read	1D Texture Sampler Calls	2D Texture Sampler Calls	3D Texture Sampler Calls	1D Texture Array Sampler Calls	2D Texture Array Sampler Calls	Cube Texture Sampler Calls	Cube Array Texture Sampler Calls	2D MSAA Texture Sampler Calls	Sparse Texture Translation Limiter	Sparse Texture Translation Requests	Average Sparse Texture Tile Size	Texture Quads	Anisotropic Sampler Calls	Total Resolved Pixels	
-	546 Compute Encoder 0 0x79f00c8c0	3.520%	0 bytes	0 bytes	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	1501 Compute Encoder 0 0x79f00dfe0	4.917%	0 bytes	0 bytes	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	2615 Compute Encoder 0 0x79f00e260	3.781%	0 bytes	0 bytes	0.00%	0.00%	24.69 KiB	24.69 KiB	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	24.69 KiB	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	3851 Compute Encoder 0 0x79f00e580	4.763%	0 bytes	0 bytes	0.00%	0.00%	341.62 KiB	341.62 KiB	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	341.62 KiB	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	5096 Compute Encoder 0 0x79f00e940	4.826%	0 bytes	0 bytes	0.00%	0.00%	25.38 KiB	25.38 KiB	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	25.38 KiB	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	6329 Compute Encoder 0 0x79f00ed00	4.533%	0 bytes	0 bytes	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	7539 Compute Encoder 0 0x79f00f0c0	4.007%	0 bytes	0 bytes	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	8772 Compute Encoder 0 0x79f00f480	4.915%	0 bytes	0 bytes	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	10012 Compute Encoder 0 0x79f00f840	4.514%	0 bytes	0 bytes	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	10974 Compute Encoder 0 0x79f00fac0	9.740%	0 bytes	0 bytes	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	11333 Compute Encoder 0 0x79f00fe80	0.570%	0 bytes	0 bytes	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
-	11823 Compute Encoder 0 0x7a0834280	0.003%	0 bytes	0 bytes	0.00%	0.00%	0 bytes	0 bytes	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 bytes	0 bytes	0 	0 	0 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 bytes	0 bytes	0 	100.00%	0.00 	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0 	0 	0 	0.00%	0 	
